A,UMBP_prefetcher,1.762507,1.6942,1.311455,1.731188,30,1,4,8
B,UMBP_prefetcher,1.766141,1.698705,1.3068,1.724883,30,1,4,8
gcc_trace2,UMBP_prefetcher,0.26412,0.263392,0.169768,0.258249,30,1,4,8
gedit,UMBP_prefetcher,1.871181,1.792397,1.592102,1.856731,30,1,4,8
GemsFDTD_trace2,UMBP_prefetcher,3.296486,3.296486,3.272124,3.19772,30,1,4,8
lbm_trace2,UMBP_prefetcher,1.751801,1.495586,0.935478,1.664489,30,1,4,8
leslie3d_trace2,UMBP_prefetcher,0.920288,0.846598,0.608394,0.931599,30,1,4,8
less,UMBP_prefetcher,1.477512,1.424951,0.933918,1.452684,30,1,4,8
libquantum_trace2,UMBP_prefetcher,3.337695,3.337695,3.171623,3.334779,30,1,4,8
mcf_trace2,UMBP_prefetcher,0.364869,0.23965,0.222859,0.366129,30,1,4,8
milc_trace2,UMBP_prefetcher,1.283835,1.243622,0.594231,1.035663,30,1,4,8
omnetpp_trace2,UMBP_prefetcher,2.228007,1.506461,1.796312,2.158772,30,1,4,8
S,UMBP_prefetcher,1.765361,1.693015,1.305128,1.731158,30,1,4,8
vi,UMBP_prefetcher,1.495687,1.167268,0.844801,1.449798,30,1,4,8
W,UMBP_prefetcher,1.766153,1.689656,1.302837,1.742646,30,1,4,8
xrandr,UMBP_prefetcher,1.703009,1.562589,1.178503,1.644608,30,1,4,8
,,,,,,,,,
